Epoch: 76 | Average Loss: 0.4004405772974414 | Val Loss: 0.4393923819538147
Epoch: 77 | Average Loss: 0.40023223639175454 | Val Loss: 0.44648463787540554
Epoch: 78 | Average Loss: 0.39874267578125 | Val Loss: 0.44161858539732674
Epoch: 79 | Average Loss: 0.39706016183700615 | Val Loss: 0.44355363789058866
Epoch: 80 | Average Loss: 0.3949733926484021 | Val Loss: 0.4432350997886961
Epoch: 81 | Average Loss: 0.39373619558029277 | Val Loss: 0.43199983097258066
Epoch: 82 | Average Loss: 0.394538369149931 | Val Loss: 0.4525732946774316
Epoch: 83 | Average Loss: 0.39321557632697524 | Val Loss: 0.43658002832579235
Epoch: 84 | Average Loss: 0.3920288970393519 | Val Loss: 0.43220405588074334
Epoch: 85 | Average Loss: 0.3891557054894586 | Val Loss: 0.4332984496676733
Epoch: 86 | Average Loss: 0.39063869024156245 | Val Loss: 0.43551636002366506
Epoch: 87 | Average Loss: 0.38867880428029644 | Val Loss: 0.432096948935872
Epoch: 88 | Average Loss: 0.3866590861511487 | Val Loss: 0.4367149230979738
Epoch: 89 | Average Loss: 0.3853922327679972 | Val Loss: 0.4548729050254065
Epoch: 90 | Average Loss: 0.38519843555586314 | Val Loss: 0.44392292556308566
Epoch: 91 | Average Loss: 0.3831158568782191 | Val Loss: 0.4359751573157689
Epoch: 92 | Average Loss: 0.3838624410651704 | Val Loss: 0.4240076882498605
Epoch: 93 | Average Loss: 0.3812670837086375 | Val Loss: 0.4256373653336177
